Name,Latitude,Longitude
Columbia__WA,46.29285,-117.911634
Columbia__WI,43.471882,-89.330472
Columbiana__OH,40.770073,-80.778455
Columbus__NC,34.261602,-78.639308
Colusa__CA,39.177739,-122.237563
Comal__TX,29.805491,-98.260544
Comanche__KS,37.181442,-99.251293
Comanche__OK,34.662628,-98.476597
Comanche__TX,31.951645,-98.549617
Concho__TX,31.318865,-99.863648
Concordia__LA,31.469805,-91.626314
Conecuh__AL,31.430926,-86.988722
Conejos__CO,37.213406,-106.176447
Contra_Costa__CA,37.919479,-121.951543
Converse__WY,42.974898,-105.505917
Conway__AR,35.265702,-92.689248
Cook__GA,31.152528,-83.429438
Cook__IL,41.894294,-87.645455
Cook__MN,47.538571,-90.29019
Cooke__TX,33.639196,-97.210343
Cooper__MO,38.845386,-92.812323
Coos__NH,44.652419,-71.289383
Coos__OR,43.184193,-124.092557
Coosa__AL,32.931445,-86.243482
Copiah__MS,31.866915,-90.448758
Corson__SD,45.685671,-101.179665
Cortland__NY,42.594039,-76.07624
Coryell__TX,31.391177,-97.798022
Coshocton__OH,40.29671,-81.930109
Costilla__CO,37.277547,-105.42894
Cottle__TX,34.091906,-100.276442
Cotton__OK,34.290676,-98.373438
Cottonwood__MN,44.010711,-95.18313
Covington__VA,37.778143,-79.986039
Covington__AL,31.243987,-86.448721
Covington__MS,31.633331,-89.548897
Coweta__GA,33.352897,-84.762138
Cowley__KS,37.234507,-96.837247
Cowlitz__WA,46.185923,-122.658682
Craig__OK,36.76389,-95.201553
Craig__VA,37.473603,-80.231051
Craighead__AR,35.827729,-90.631421
Crane__TX,31.422796,-102.487774
Craven__NC,35.118179,-77.082541
Crawford__AR,35.583041,-94.236224
Crawford__GA,32.709428,-83.979187
Crawford__IL,39.002769,-87.760621
Crawford__IN,38.289433,-86.440871
Crawford__IA,42.043119,-95.38909
Crawford__KS,37.50582,-94.853897
Crawford__MI,44.680208,-84.611132
Crawford__MO,37.96656,-91.313933
Crawford__OH,40.848524,-82.924783
Crawford__PA,41.687835,-80.107799
Crawford__WI,43.24991,-90.95123
Creek__OK,35.907732,-96.379793
Crenshaw__AL,31.732826,-86.319222
Crisp__GA,31.915149,-83.753531
Crittenden__AR,35.211878,-90.315331
Crittenden__KY,37.358149,-88.10501
Crockett__TN,35.818795,-89.132494
Crockett__TX,30.717532,-101.404211
Crook__OR,44.163054,-120.371585
Crook__WY,44.589266,-104.567298
Crosby__TX,33.609144,-101.29871
Cross__AR,35.285692,-90.763984
Crow_Wing__MN,46.491653,-94.070718
Crowley__CO,38.30618,-103.772736
Culberson__TX,31.445908,-104.526945
Cullman__AL,34.131923,-86.869267
Culpeper__VA,38.48593,-77.956476
Cumberland__IL,39.273121,-88.240619
Cumberland__KY,36.784224,-85.393507
Cumberland__ME,43.808348,-70.330375
Cumberland__NJ,39.328387,-75.121644
Cumberland__NC,35.050192,-78.828719
Cumberland__PA,40.164805,-77.263442
Cumberland__TN,35.952398,-84.994761
Cumberland__VA,37.520189,-78.252836
Cuming__NE,41.915865,-96.788517
Currituck__NC,36.372174,-75.941224
Curry__NM,34.572984,-103.346055
Curry__OR,42.466439,-124.210929
Custer__CO,38.101994,-105.373515
Custer__ID,44.273351,-114.252267
Custer__MT,46.261481,-105.550508
Custer__NE,41.393893,-99.726866
Custer__OK,35.645601,-98.997386
Custer__SD,43.684943,-103.46225
Cuyahoga__OH,41.760392,-81.724217
Dade__GA,34.852424,-85.506201
Dade__MO,37.43235,-93.854878
Daggett__UT,40.890099,-109.505785
Dakota__MN,44.670893,-93.062481
Dakota__NE,42.391645,-96.561356
Dale__AL,31.430654,-85.609476
Dallam__TX,36.28637,-102.59402
Dallas__AL,32.33354,-87.114356
Dallas__AR,33.967823,-92.653999
Dallas__IA,41.685321,-94.040707
Dallas__MO,37.683583,-93.033812
Dallas__TX,32.766987,-96.778424
Dane__WI,43.067468,-89.417852
Daniels__MT,48.794429,-105.541739
Danville__VA,36.583334,-79.408071
Dare__NC,35.606269,-75.767536
Darke__OH,40.131542,-84.621248
Darlington__SC,34.332185,-79.962115
Dauphin__PA,40.412565,-76.792634
Davidson__NC,35.795131,-80.207107
Davidson__TN,36.169129,-86.78479
Davie__NC,35.929355,-80.542552
Daviess__IN,38.694546,-87.072759
Daviess__KY,37.731671,-87.087139
Daviess__MO,39.962839,-93.970053
Davis__IA,40.748089,-92.410345
Davis__UT,41.037559,-112.201943
Davison__SD,43.680439,-98.155868
Dawes__NE,42.711214,-103.134872
